param n := 128;
param : E :   a :=
33 39    29
33 40    25
33 41    32
33 42    33
33 43    3
33 44    10
33 45    4
33 46    14
33 47    5
33 48    12
33 49    15
33 50    12
33 51    11
33 52    19
33 53    17
33 54    19
33 55    1
33 56    2
33 57    11
33 58    21
33 59    3
33 60    8
33 61    33
33 62    22
33 63    13
33 64    5
33 65    22
33 66    25
33 67    1
33 68    18
33 69    8
33 70    14
33 71    19
33 72    29
33 73    22
33 74    4
33 75    22
33 76    2
33 77    5
33 78    31
33 79    24
33 80    18
33 81    20
33 82    4
33 83    33
33 84    12
33 85    25
33 86    3
33 87    10
33 88    18
33 89    17
33 90    16
33 91    32
33 92    11
33 93    16
33 94    17
33 95    3
33 96    55
33 97    26
33 98    21
33 99    29
33 100    6
33 101    33
33 102    28
33 103    17
33 104    14
33 105    10
33 106    13
33 107    2
33 108    14
33 109    15
33 110    21
33 111    5
33 112    43
33 113    2
33 114    21
33 115    17
33 116    23
33 117    18
33 118    29
33 119    30
33 120    2
33 121    14
33 122    4
33 123    18
33 124    32
33 125    16
33 126    61
33 127    13
33 128    100
34 1    15
34 2    9
34 3    1
34 4    15
34 5    4
34 6    11
34 7    14
34 8    3
34 9    14
34 10    2
34 11    10
34 12    10
34 13    2
34 14    2
34 15    11
34 16    16
34 17    3
34 18    17
34 19    10
34 20    6
34 21    6
34 22    14
34 23    14
34 24    16
34 25    9
34 26    9
34 27    12
34 28    7
34 29    4
34 30    8
34 31    13
34 32    10
34 33    7
34 34    10
34 35    4
34 36    14
34 37    15
34 38    14
34 39    17
34 40    16
34 41    13
34 42    7
34 43    17
34 44    4
34 45    3
34 46    8
34 47    2
34 48    17
34 49    4
34 50    9
34 51    6
34 52    2
34 53    1
34 54    8
34 55    14
34 56    29
34 57    12
34 58    7
34 59    8
34 60    7
34 61    4
34 62    19
34 63    25
34 64    34
34 65    60
34 66    26
34 67    9
34 68    8
34 69    8
34 70    7
34 71    5
34 72    17
34 73    4
34 74    3
34 75    17
34 76    13
34 77    15
34 78    15
34 79    10
34 80    20
34 81    21
34 82    10
34 83    12
34 84    5
34 85    14
34 86    8
34 87    5
34 88    17
34 89    17
34 90    4
34 91    6
34 92    11
34 93    17
34 94    31
34 95    4
34 96    54
34 97    25
34 98    15
34 99    6
34 100    14
34 101    6
34 102    12
34 103    3
34 104    22
34 105    11
34 106    13
34 107    16
34 108    2
34 109    7
34 110    25
34 111    15
34 112    47
34 113    8
34 114    3
34 115    5
34 116    32
34 117    6
34 118    25
34 119    28
34 120    35
34 121    1
34 122    8
34 123    1
34 124    54
34 125    10
34 126    14
34 127    46
34 128    85
35 1    16
35 2    8
35 3    6
35 4    2
35 5    7
35 6    12
35 7    6
35 8    1
35 9    4
35 10    2
35 11    5
35 12    3
35 13    5
35 14    8
35 15    3
35 16    2
35 17    5
35 18    15
35 19    2
35 20    14
35 21    5
35 22    7
35 23    2
35 24    7
35 25    16
35 26    4
35 27    7
35 28    2
35 29    4
35 30    10
35 31    9
35 32    24
35 33    32
35 34    14
35 35    5
35 36    13
35 37    6
35 38    9
35 39    13
35 40    3
35 41    14
35 42    1
35 43    4
35 44    12
35 45    8
35 46    6
35 47    8
35 48    26
35 49    5
35 50    16
35 51    15
35 52    7
35 53    8
35 54    5
35 55    8
35 56    9
35 57    2
35 58    9
35 59    3
35 60    29
35 61    14
35 62    6
35 63    7
35 64    21
35 65    32
35 66    6
35 67    15
35 68    8
35 69    30
35 70    16
35 71    17
35 72    4
35 73    33
35 74    4
35 75    10
35 76    17
35 77    16
35 78    12
35 79    7
35 80    28
35 81    27
35 82    2
35 83    10
35 84    12
35 85    11
35 86    3
35 87    9
35 88    18
35 89    9
35 90    10
35 91    10
35 92    32
35 93    10
35 94    28
35 95    17
35 96    57
35 97    16
35 98    8
35 99    7
35 100    10
35 101    14
35 102    12
35 103    10
35 104    29
35 105    2
35 106    16
35 107    2
35 108    26
35 109    3
35 110    3
35 111    15
35 112    65
35 113    9
35 114    7
35 115    7
35 116    22
35 117    5
35 118    27
35 119    20
35 120    11
35 121    10
35 122    1
35 123    25
35 124    15
35 125    27
35 126    37
35 127    49
35 128    117
36 1    5
36 2    7
36 3    7
36 4    5
36 5    5
36 6    3
36 7    8
36 8    4
36 9    2
36 10    4
36 11    2
36 12    3
36 13    6
36 14    3
36 15    7
36 16    7
36 17    4
36 18    5
36 19    1
36 20    6
36 21    8
36 22    4
36 23    6
36 24    13
36 25    6
36 26    6
36 27    6
36 28    14
36 29    8
36 30    5
36 31    3
36 32    2
36 33    1
36 34    7
36 35    14
36 36    2
36 37    9
36 38    4
36 39    3
36 40    13
36 41    6
36 42    3
36 43    5
36 44    9
36 45    5
36 46    11
36 47    14
36 48    1
36 49    2
36 50    7
36 51    3
36 52    16
36 53    1
36 54    9
36 55    8
36 56    32
36 57    3
36 58    2
36 59    7
36 60    26
36 61    7
36 62    22
36 63    12
36 64    24
36 65    55
36 66    33
36 67    20
36 68    11
36 69    33
36 70    14
36 71    8
36 72    6
36 73    24
36 74    16
36 75    1
36 76    9
36 77    14
36 78    2
36 79    8
36 80    32
36 81    25
36 82    11
36 83    14
36 84    4
36 85    9
36 86    14
36 87    8
36 88    26
36 89    14
36 90    9
36 91    8
36 92    26
36 93    12
36 94    6
36 95    13
36 96    7
36 97    14
36 98    2
36 99    6
36 100    16
36 101    15
36 102    17
36 103    9
36 104    12
36 105    6
36 106    7
36 107    4
36 108    14
36 109    9
36 110    4
36 111    24
36 112    5
36 113    8
36 114    6
36 115    5
36 116    10
36 117    1
36 118    25
36 119    15
36 120    37
36 121    14
36 122    6
36 123    24
36 124    35
36 125    2
36 126    2
36 127    10
36 128    121
37 1    13
37 2    11
37 3    13
37 4    3
37 5    3
37 6    3
37 7    6
37 8    14
37 9    13
37 10    6
37 11    14
37 12    6
37 13    8
37 14    10
37 15    15
37 16    7
37 17    4
37 18    12
37 19    5
37 20    14
37 21    1
37 22    1
37 23    5
37 24    4
37 25    6
37 26    7
37 27    13
37 28    5
37 29    17
37 30    15
37 31    1
37 32    13
37 33    17
37 34    1
37 35    1
37 36    17
37 37    17
37 38    15
37 39    9
37 40    2
37 41    1
37 42    14
37 43    1
37 44    5
37 45    1
37 46    11
37 47    5
37 48    29
37 49    8
37 50    7
37 51    14
37 52    3
37 53    1
37 54    8
37 55    16
37 56    5
37 57    6
37 58    7
37 59    5
37 60    30
37 61    16
37 62    10
37 63    4
37 64    45
37 65    39
37 66    17
37 67    17
37 68    1
37 69    6
37 70    7
37 71    7
37 72    7
37 73    20
37 74    17
37 75    1
37 76    1
37 77    16
37 78    9
37 79    5
37 80    4
37 81    1
37 82    16
37 83    11
37 84    8
37 85    17
37 86    13
37 87    5
37 88    11
37 89    6
37 90    7
37 91    9
37 92    18
37 93    1
37 94    29
37 95    2
37 96    5
37 97    5
37 98    2
37 99    5
37 100    9
37 101    2
37 102    9
37 103    3
37 104    5
37 105    6
37 106    2
37 107    17
37 108    8
37 109    12
37 110    12
37 111    25
37 112    59
37 113    14
37 114    8
37 115    8
37 116    1
37 117    1
37 118    10
37 119    28
37 120    30
37 121    11
37 122    33
37 123    25
37 124    52
37 125    1
37 126    21
37 127    49
37 128    10
38 1    3
38 2    8
38 3    5
38 4    6
38 5    7
38 6    2
38 7    1
38 8    7
38 9    4
38 10    3
38 11    7
38 12    1
38 13    5
38 14    9
38 15    6
38 16    15
38 17    6
38 18    3
38 19    6
38 20    7
38 21    9
38 22    4
38 23    8
38 24    10
38 25    6
38 26    2
38 27    5
38 28    2
38 29    9
38 30    16
38 31    17
38 32    16
38 33    4
38 34    12
38 35    4
38 36    7
38 37    5
38 38    4
38 39    4
38 40    14
38 41    13
38 42    2
38 43    5
38 44    8
38 45    5
38 46    14
38 47    11
38 48    1
38 49    10
38 50    9
38 51    4
38 52    9
38 53    2
38 54    2
38 55    13
38 56    24
38 57    4
38 58    10
38 59    6
38 60    20
38 61    8
38 62    29
38 63    20
38 64    26
38 65    58
38 66    1
38 67    8
38 68    16
38 69    26
38 70    2
38 71    1
38 72    17
38 73    19
38 74    11
38 75    6
38 76    12
38 77    3
38 78    17
38 79    4
38 80    11
38 81    33
38 82    5
38 83    11
38 84    15
38 85    9
38 86    6
38 87    17
38 88    15
38 89    9
38 90    9
38 91    1
38 92    8
38 93    9
38 94    33
38 95    4
38 96    44
38 97    30
38 98    12
38 99    6
38 100    15
38 101    11
38 102    16
38 103    9
38 104    3
38 105    7
38 106    2
38 107    11
38 108    13
38 109    4
38 110    25
38 111    33
38 112    60
38 113    12
38 114    7
38 115    15
38 116    19
38 117    1
38 118    32
38 119    30
38 120    53
38 121    17
38 122    12
38 123    12
38 124    8
38 125    14
38 126    52
38 127    36
38 128    109
39 1    3
39 2    5
39 3    4
39 4    4
39 5    8
39 6    4
39 7    5
39 8    1
39 9    2
39 10    3
39 11    6
39 12    8
39 13    5
39 14    5
39 15    4
39 16    17
39 17    2
39 18    6
39 19    8
39 20    7
39 21    8
39 22    4
39 23    7
39 24    6
39 25    3
39 26    3
39 27    4
39 28    4
39 29    5
39 30    8
39 31    10
39 32    17
39 33    13
39 34    15
39 35    4
39 36    2
39 37    8
39 38    4
39 39    7
39 40    9
39 41    12
39 42    7
39 43    7
39 44    3
39 45    8
39 46    9
39 47    14
39 48    16
39 49    6
39 50    1
39 51    5
39 52    2
39 53    3
39 54    4
39 55    9
39 56    16
39 57    7
39 58    10
39 59    10
39 60    7
39 61    9
39 62    13
39 63    9
39 64    17
39 65    31
39 66    25
39 67    24
39 68    16
39 69    2
39 70    3
39 71    14
39 72    2
39 73    18
39 74    16
39 75    17
39 76    1
39 77    11
39 78    8
39 79    2
39 80    15
39 81    14
39 82    3
39 83    6
39 84    3
39 85    3
39 86    12
39 87    16
39 88    6
39 89    10
39 90    5
39 91    13
39 92    14
39 93    4
39 94    9
39 95    5
39 96    12
39 97    14
39 98    16
39 99    10
39 100    3
39 101    12
39 102    13
39 103    12
39 104    17
39 105    9
39 106    5
39 107    9
39 108    4
39 109    4
39 110    8
39 111    1
39 112    37
39 113    8
39 114    6
39 115    14
39 116    2
39 117    5
39 118    18
39 119    9
39 120    7
39 121    13
39 122    21
39 123    14
39 124    49
39 125    32
39 126    27
39 127    9
39 128    81
40 1    10
40 2    13
40 3    7
40 4    3
40 5    17
40 6    2
40 7    14
40 8    17
40 9    17
40 10    16
40 11    17
40 12    15
40 13    10
40 14    1
40 15    1
40 16    14
40 17    9
40 18    3
40 19    2
40 20    6
40 21    5
40 22    4
40 23    5
40 24    17
40 25    11
40 26    6
40 27    11
40 28    2
40 29    8
40 30    17
40 31    6
40 32    10
40 33    17
40 34    15
40 35    7
40 36    14
40 37    4
40 38    6
40 39    6
40 40    17
40 41    7
40 42    16
40 43    17
40 44    11
40 45    2
40 46    8
40 47    17
40 48    24
40 49    14
40 50    9
40 51    15
40 52    14
40 53    10
40 54    11
40 55    3
40 56    16
40 57    8
40 58    14
40 59    13
40 60    4
40 61    2
40 62    30
40 63    18
40 64    6
40 65    46
40 66    25
40 67    12
40 68    1
40 69    4
40 70    2
40 71    5
40 72    13
40 73    5
40 74    7
40 75    17
40 76    8
40 77    17
40 78    15
40 79    17
40 80    10
40 81    17
40 82    2
40 83    10
40 84    2
40 85    2
40 86    15
40 87    11
40 88    26
40 89    9
40 90    5
40 91    12
40 92    9
40 93    7
40 94    32
40 95    20
40 96    37
40 97    23
40 98    10
40 99    2
40 100    1
40 101    5
40 102    14
40 103    1
40 104    12
40 105    15
40 106    1
40 107    7
40 108    21
40 109    14
40 110    21
40 111    31
40 112    55
40 113    3
40 114    7
40 115    12
40 116    32
40 117    16
40 118    3
40 119    23
40 120    47
40 121    9
40 122    8
40 123    14
40 124    38
40 125    6
40 126    30
40 127    17
40 128    41
41 1    11
41 2    17
41 3    12
41 4    7
41 5    13
41 6    11
41 7    6
41 8    12
41 9    7
41 10    12
41 11    6
41 12    6
41 13    2
41 14    15
41 15    17
41 16    10
41 17    4
41 18    2
41 19    12
41 20    14
41 21    2
41 22    2
41 23    1
41 24    13
41 25    16
41 26    7
41 27    7
41 28    6
41 29    6
41 30    17
41 31    8
41 32    20
41 33    2
41 34    12
41 35    5
41 36    8
41 37    11
41 38    12
41 39    4
41 40    8
41 41    10
41 42    15
41 43    12
41 44    9
41 45    9
41 46    8
41 47    8
41 48    20
41 49    1
41 50    6
41 51    14
41 52    4
41 53    2
41 54    13
41 55    6
41 56    17
41 57    8
41 58    4
41 59    8
41 60    33
41 61    15
41 62    24
41 63    10
41 64    54
41 65    17
41 66    7
41 67    21
41 68    6
41 69    30
41 70    15
41 71    9
41 72    12
41 73    27
41 74    6
41 75    12
41 76    16
41 77    8
41 78    1
41 79    16
41 80    3
41 81    17
41 82    10
41 83    1
41 84    5
41 85    9
41 86    16
41 87    12
41 88    3
41 89    12
41 90    14
41 91    11
41 92    33
41 93    4
41 94    4
41 95    7
41 96    29
41 97    13
41 98    1
41 99    16
41 100    14
41 101    10
41 102    10
41 103    5
41 104    31
41 105    10
41 106    15
41 107    10
41 108    16
41 109    13
41 110    28
41 111    23
41 112    14
41 113    7
41 114    10
41 115    13
41 116    27
41 117    2
41 118    19
41 119    13
41 120    35
41 121    15
41 122    2
41 123    24
41 124    57
41 125    10
41 126    59
41 127    19
41 128    112
42 1    7
42 2    9
42 3    6
42 4    6
42 5    6
42 6    2
42 7    6
42 8    3
42 9    6
42 10    8
42 11    9
42 12    2
42 13    7
42 14    5
42 15    1
42 16    12
42 17    12
42 18    9
42 19    4
42 20    1
42 21    6
42 22    9
42 23    7
42 24    6
42 25    6
42 26    7
42 27    5
42 28    8
42 29    7
42 30    13
42 31    13
42 32    25
42 33    17
42 34    3
42 35    7
42 36    9
42 37    6
42 38    6
42 39    8
42 40    13
42 41    12
42 42    4
42 43    5
42 44    9
42 45    3
42 46    9
42 47    16
42 48    5
42 49    11
42 50    8
42 51    1
42 52    6
42 53    4
42 54    5
42 55    6
42 56    16
42 57    3
42 58    16
42 59    11
42 60    7
42 61    12
42 62    2
42 63    31
42 64    50
42 65    11
42 66    7
42 67    30
42 68    13
42 69    25
42 70    2
42 71    13
42 72    12
42 73    3
42 74    14
42 75    12
42 76    1
42 77    15
42 78    3
42 79    15
42 80    26
42 81    31
42 82    14
42 83    4
42 84    16
42 85    9
42 86    15
42 87    14
42 88    7
42 89    1
42 90    11
42 91    13
42 92    25
42 93    13
42 94    8
42 95    25
42 96    52
42 97    3
42 98    12
42 99    3
42 100    13
42 101    9
42 102    15
42 103    9
42 104    19
42 105    13
42 106    6
42 107    15
42 108    26
42 109    6
42 110    2
42 111    18
42 112    21
42 113    3
42 114    5
42 115    16
42 116    22
42 117    7
42 118    6
42 119    1
42 120    16
42 121    6
42 122    5
42 123    28
42 124    33
42 125    6
42 126    10
42 127    8
42 128    122
43 1    3
43 2    4
43 3    5
43 4    1
43 5    1
43 6    6
43 7    3
43 8    1
43 9    1
43 10    1
43 11    2
43 12    7
43 13    6
43 14    8
43 15    2
43 16    16
43 17    13
43 18    5
43 19    1
43 20    9
43 21    1
43 22    4
43 23    4
43 24    6
43 25    9
43 26    9
43 27    4
43 28    12
43 29    6
43 30    7
43 31    1
43 32    17
43 33    15
43 34    17
43 35    8
43 36    4
43 37    13
43 38    8
43 39    1
43 40    7
43 41    3
43 42    4
43 43    6
43 44    8
43 45    6
43 46    1
43 47    6
43 48    14
43 49    7
43 50    2
43 51    9
43 52    14
43 53    9
43 54    2
43 55    14
43 56    11
43 57    8
43 58    2
43 59    4
43 60    13
43 61    4
43 62    16
43 63    25
43 64    56
43 65    27
43 66    12
43 67    30
43 68    12
43 69    10
43 70    3
43 71    9
43 72    1
43 73    27
43 74    16
43 75    9
43 76    15
43 77    2
43 78    1
43 79    9
43 80    19
43 81    3
43 82    12
43 83    11
43 84    14
43 85    9
43 86    15
43 87    15
43 88    13
43 89    3
43 90    1
43 91    14
43 92    24
43 93    5
43 94    20
43 95    10
43 96    63
43 97    31
43 98    7
43 99    9
43 100    7
43 101    16
43 102    14
43 103    1
43 104    15
43 105    13
43 106    1
43 107    6
43 108    18
43 109    15
43 110    32
43 111    21
43 112    62
43 113    12
43 114    9
43 115    12
43 116    7
43 117    15
43 118    23
43 119    8
43 120    59
43 121    1
43 122    12
43 123    5
43 124    28
43 125    11
43 126    26
43 127    45
43 128    53
44 1    17
44 2    2
44 3    6
44 4    4
44 5    2
44 6    1
44 7    1
44 8    6
44 9    1
44 10    14
44 11    9
44 12    13
44 13    10
44 14    6
44 15    4
44 16    1
44 17    11
44 18    17
44 19    14
44 20    8
44 21    5
44 22    5
44 23    2
44 24    8
44 25    16
44 26    12
44 27    2
44 28    3
44 29    15
44 30    4
44 31    15
44 32    23
44 33    28
44 34    17
44 35    11
44 36    5
44 37    4
44 38    17
44 39    8
44 40    6
44 41    6
44 42    4
44 43    4
44 44    14
44 45    9
44 46    16
44 47    15
44 48    22
44 49    14
44 50    1
44 51    13
44 52    14
44 53    5
44 54    16
44 55    13
44 56    8
44 57    1
44 58    9
44 59    3
44 60    32
44 61    16
44 62    5
44 63    24
44 64    45
44 65    65
44 66    3
44 67    17
44 68    9
44 69    33
44 70    12
44 71    6
44 72    4
44 73    11
44 74    7
44 75    15
44 76    1
44 77    16
44 78    8
44 79    5
44 80    6
44 81    15
44 82    7
44 83    8
44 84    1
44 85    14
44 86    4
44 87    8
44 88    33
44 89    8
44 90    16
44 91    7
44 92    20
44 93    4
44 94    24
44 95    32
44 96    39
44 97    33
44 98    12
44 99    8
44 100    17
44 101    16
44 102    8
44 103    13
44 104    24
44 105    1
44 106    1
44 107    12
44 108    1
44 109    5
44 110    12
44 111    13
44 112    55
44 113    9
44 114    3
44 115    4
44 116    32
44 117    5
44 118    22
44 119    3
44 120    50
44 121    1
44 122    7
44 123    17
44 124    36
44 125    24
44 126    42
44 127    3
44 128    107
45 1    8
45 2    8
45 3    1
45 4    7
45 5    5
45 6    3
45 7    1
45 8    4
45 9    8
45 10    7
45 11    4
45 12    7
45 13    1
45 14    4
45 15    5
45 16    15
45 17    15
45 18    7
45 19    4
45 20    5
45 21    6
45 22    9
45 23    2
45 24    5
45 25    6
45 26    9
45 27    6
45 28    11
45 29    4
45 30    2
45 31    11
45 32    16
45 33    7
45 34    11
45 35    8
45 36    9
45 37    16
45 38    6
45 39    3
45 40    8
45 41    1
45 42    2
45 43    2
45 44    1
45 45    3
45 46    15
45 47    10
45 48    32
45 49    1
45 50    4
45 51    6
45 52    10
45 53    8
45 54    17
45 55    14
45 56    24
45 57    4
45 58    1
45 59    11
45 60    16
45 61    7
45 62    29
45 63    33
45 64    52
45 65    33
45 66    7
45 67    30
45 68    7
45 69    3
45 70    4
45 71    2
45 72    4
45 73    3
45 74    2
45 75    7
45 76    12
45 77    2
45 78    11
45 79    14
45 80    27
45 81    3
45 82    13
45 83    2
45 84    16
45 85    7
45 86    10
45 87    2
45 88    11
45 89    5
45 90    9
45 91    2
45 92    33
45 93    6
45 94    29
45 95    5
45 96    7
45 97    31
45 98    8
45 99    4
45 100    12
45 101    14
45 102    1
45 103    13
45 104    22
45 105    2
45 106    8
45 107    15
45 108    18
45 109    16
45 110    25
45 111    21
45 112    40
45 113    11
45 114    14
45 115    9
45 116    20
45 117    13
45 118    22
45 119    31
45 120    2
45 121    2
45 122    3
45 123    6
45 124    12
45 125    3
45 126    30
45 127    13
45 128    56
46 1    14
46 2    1
46 3    3
46 4    5
46 5    12
46 6    6
46 7    10
46 8    5
46 9    11
46 10    13
46 11    6
46 12    17
46 13    10
46 14    2
46 15    4
46 16    3
46 17    1
46 18    3
46 19    14
46 20    3
46 21    1
46 22    11
46 23    8
46 24    1
46 25    12
46 26    16
46 27    14
46 28    17
46 29    16
46 30    6
46 31    3
46 32    4
46 33    20
46 34    1
46 35    7
46 36    4
46 37    13
46 38    12
46 39    2
46 40    12
46 41    14
46 42    9
46 43    12
46 44    11
46 45    2
46 46    5
46 47    8
46 48    28
46 49    1
46 50    17
46 51    14
46 52    5
46 53    3
46 54    13
46 55    8
46 56    10
46 57    3
46 58    4
46 59    6
46 60    32
46 61    10
46 62    3
46 63    4
46 64    25
46 65    3
46 66    13
46 67    28
46 68    16
46 69    10
46 70    12
46 71    15
46 72    1
46 73    1
46 74    4
46 75    8
46 76    4
46 77    12
46 78    4
46 79    17
46 80    9
46 81    16
46 82    12
46 83    2
46 84    11
46 85    17
46 86    4
46 87    14
46 88    19
46 89    7
46 90    2
46 91    17
46 92    13
46 93    3
46 94    7
46 95    32
46 96    60
46 97    3
46 98    16
46 99    12
46 100    17
46 101    11
46 102    11
46 103    16
46 104    17
46 105    4
46 106    7
46 107    17
46 108    7
46 109    12
46 110    7
46 111    2
46 112    58
46 113    2
46 114    14
46 115    12
46 116    6
46 117    13
46 118    16
46 119    10
46 120    42
46 121    3
46 122    5
46 123    23
46 124    17
46 125    21
46 126    52
46 127    36
46 128    89
47 1    7
47 2    9
47 3    8
47 4    11
47 5    6
47 6    8
47 7    9
47 8    17
47 9    8
47 10    6
47 11    9
47 12    17
47 13    10
47 14    10
47 15    2
47 16    10
47 17    10
47 18    3
47 19    14
47 20    1
47 21    3
47 22    10
47 23    9
47 24    9
47 25    14
47 26    12
47 27    14
47 28    6
47 29    7
47 30    16
47 31    3
47 32    6
47 33    14
47 34    3
47 35    15
47 36    1
47 37    11
47 38    4
47 39    9
47 40    13
47 41    12
47 42    9
47 43    5
47 44    7
47 45    12
47 46    4
47 47    13
47 48    21
47 49    13
47 50    2
47 51    12
47 52    12
47 53    11
47 54    17
47 55    15
47 56    6
47 57    13
47 58    5
47 59    1
47 60    10
47 61    9
47 62    26
47 63    30
47 64    50
47 65    25
47 66    27
47 67    31
47 68    4
47 69    28
47 70    9
47 71    12
47 72    3
47 73    22
47 74    13
47 75    9
47 76    8
47 77    7
47 78    15
47 79    11
47 80    23
47 81    6
47 82    7
47 83    3
47 84    15
47 85    15
47 86    14
47 87    9
47 88    11
47 89    2
47 90    9
47 91    11
47 92    15
47 93    17
47 94    4
47 95    7
47 96    65
47 97    21
47 98    17
47 99    13
47 100    4
47 101    17
47 102    3
47 103    17
47 104    2
47 105    6
47 106    15
47 107    4
47 108    22
47 109    13
47 110    28
47 111    16
47 112    50
47 113    4
47 114    1
47 115    14
47 116    7
47 117    7
47 118    7
47 119    22
47 120    22
47 121    16
47 122    24
47 123    8
47 124    42
47 125    29
47 126    50
47 127    45
47 128    8
48 1    13
48 2    8
48 3    28
48 4    18
48 5    30
48 6    27
48 7    27
48 8    16
48 9    11
48 10    31
48 11    10
48 12    3
48 13    26
48 14    26
48 15    12
48 16    1
48 17    2
48 18    30
48 19    8
48 20    13
48 21    19
48 22    23
48 23    14
48 24    31
48 25    16
48 26    17
48 27    14
48 28    24
48 29    12
48 30    4
48 31    18
48 32    20
48 33    24
48 34    32
48 35    27
48 36    29
48 37    22
48 38    18
48 39    18
48 40    18
48 41    30
48 42    13
48 43    13
48 44    30
48 45    33
48 46    13
48 47    21
48 48    26
48 49    28
48 50    4
48 51    15
48 52    1
48 53    20
48 54    32
48 55    8
48 56    33
48 57    11
48 58    14
48 59    8
48 60    5
48 61    2
48 62    4
48 63    22
48 64    48
48 65    42
48 66    19
48 67    4
48 68    26
48 69    4
48 70    11
48 71    4
48 72    12
48 73    3
48 74    16
48 75    5
48 76    23
48 77    8
48 78    29
48 79    9
48 80    7
48 81    2
48 82    9
48 83    23
48 84    30
48 85    8
48 86    2
48 87    5
48 88    17
48 89    10
48 90    31
48 91    5
48 92    24
48 93    29
48 94    31
48 95    12
48 96    62
48 97    29
48 98    22
48 99    31
48 100    27
48 101    8
48 102    1
48 103    24
48 104    5
48 105    13
48 106    33
48 107    9
48 108    18
48 109    21
48 110    33
48 111    13
48 112    47
48 113    1
48 114    21
48 115    18
48 116    24
48 117    12
48 118    16
48 119    1
48 120    8
48 121    33
48 122    3
48 123    3
48 124    8
48 125    15
48 126    10
48 127    7
48 128    52
49 1    2
49 2    13
49 3    17
49 4    2
49 5    2
49 6    17
49 7    9
49 8    16
49 9    16
49 10    10
49 11    10
49 12    10
49 13    1
49 14    3
49 15    5
49 16    14
49 17    17
49 18    17
49 19    12
49 20    4
49 21    9
49 22    4
49 23    10
49 24    1
49 25    6
49 26    9
49 27    8
49 28    15
49 29    8
49 30    9
49 31    10
49 32    4
49 33    13
49 34    7
49 35    4
49 36    3
49 37    8
49 38    12
49 39    14
49 40    15
49 41    5
49 42    17
49 43    3
49 44    15
49 45    14
49 46    9
49 47    1
49 48    26
49 49    4
49 50    10
49 51    16
49 52    10
49 53    10
49 54    11
49 55    11
49 56    16
49 57    6
49 58    14
49 59    9
49 60    1
49 61    12
49 62    6
49 63    1
49 64    21
49 65    10
49 66    28
49 67    10
49 68    5
49 69    2
49 70    2
49 71    4
49 72    3
49 73    32
49 74    11
49 75    5
49 76    16
49 77    3
49 78    3
49 79    7
49 80    11
49 81    31
49 82    6
49 83    3
49 84    15
49 85    12
49 86    11
49 87    6
49 88    21
49 89    11
49 90    9
49 91    5
49 92    21
49 93    11
49 94    2
49 95    29
49 96    27
49 97    31
49 98    9
49 99    17
49 100    12
49 101    16
49 102    4
49 103    16
49 104    17
49 105    5
49 106    8
49 107    5
49 108    30
49 109    5
49 110    29
49 111    32
49 112    13
49 113    6
49 114    13
49 115    11
49 116    23
49 117    11
49 118    18
49 119    9
49 120    64
49 121    12
49 122    29
49 123    10
49 124    35
49 125    16
49 126    49
49 127    55
49 128    83
50 1    1
50 2    8
50 3    2
50 4    8
50 5    9
50 6    3
50 7    1
50 8    1
50 9    3
50 10    3
50 11    3
50 12    9
50 13    9
50 14    3
50 15    9
50 16    16
50 17    13
50 18    6
50 19    5
50 20    3
50 21    4
50 22    2
50 23    8
50 24    15
50 25    5
50 26    7
50 27    1
50 28    13
50 29    7
50 30    1
50 31    17
50 32    25
50 33    16
50 34    6
50 35    11
50 36    1
50 37    11
50 38    9
50 39    2
50 40    7
50 41    8
50 42    4
50 43    2
50 44    4
50 45    1
50 46    2
50 47    9
50 48    3
50 49    2
50 50    8
50 51    3
50 52    8
50 53    1
50 54    8
50 55    1
50 56    24
50 57    8
50 58    4
50 59    4
50 60    5
50 61    13
50 62    8
50 63    11
50 64    49
50 65    56
50 66    8
50 67    8
50 68    14
50 69    31
50 70    11
50 71    7
50 72    11
50 73    17
50 74    5
50 75    8
50 76    4
50 77    10
50 78    13
50 79    16
50 80    21
50 81    4
50 82    12
50 83    11
50 84    3
50 85    13
50 86    13
50 87    15
50 88    28
50 89    10
50 90    6
50 91    3
50 92    33
50 93    12
50 94    5
50 95    11
50 96    20
50 97    23
50 98    13
50 99    16
50 100    15
50 101    10
50 102    1
50 103    9
50 104    16
50 105    13
50 106    11
50 107    13
50 108    7
50 109    17
50 110    26
50 111    2
50 112    2
50 113    5
50 114    17
50 115    13
50 116    7
50 117    11
50 118    11
50 119    30
50 120    18
50 121    16
50 122    28
50 123    4
50 124    52
50 125    10
50 126    40
50 127    30
50 128    42
51 1    8
51 2    3
51 3    8
51 4    8
51 5    3
51 6    9
51 7    5
51 8    2
51 9    7
51 10    4
51 11    6
51 12    1
51 13    2
51 14    6
51 15    4
51 16    12
51 17    5
51 18    8
51 19    2
51 20    6
51 21    1
51 22    3
51 23    9
51 24    9
51 25    8
51 26    2
51 27    3
51 28    12
51 29    4
51 30    14
51 31    15
51 32    8
51 33    8
51 34    2
51 35    1
51 36    3
51 37    13
51 38    5
51 39    4
51 40    14
51 41    7
51 42    4
51 43    2
51 44    1
51 45    5
51 46    11
51 47    12
51 48    30
51 49    6
51 50    6
51 51    1
51 52    4
51 53    3
51 54    2
51 55    2
51 56    24
51 57    5
51 58    11
51 59    3
51 60    2
51 61    14
51 62    11
51 63    12
51 64    38
